ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS
LaPolla-2003-591-237	237	market	633	MARKET	5	market	tʂhaq // tʂhɑq // tʂhə
LaPolla-2003-591-238	238	one kind			2	DEF:one:kind	lɑχ
LaPolla-2003-591-239	239	fit			2	fit	χoʂu
LaPolla-2003-591-240	240	fight	1423	FIGHT	9	fight	quɑ // quɑq // quəqua // quəquɑ
LaPolla-2003-591-241	241	thief	1160	THIEF	2	thief	ʂku
LaPolla-2003-591-242	242	already	2576	ALREADY	2	†(already)	jitɕin
LaPolla-2003-591-243	243	message	2961	MESSAGE	2	message	phə
LaPolla-2003-591-244	244	plant	653	PLANT (VEGETATION)	3	plant	phi // ɸi
LaPolla-2003-591-245	245	arrange	1568	ARRANGE	2	arrange	gɑnphai
LaPolla-2003-591-246	246	guest	1782	GUEST	2	guest	dʐu
LaPolla-2003-591-247	247	recover	1978	RECOVER	2	recover	xʂu
LaPolla-2003-591-248	248	Momo (steamed bread)			2	momo(steamed.bread)	qhɑl
LaPolla-2003-591-249	249	stop	2880	HALT (STOP)	3	stop	tɕ // χə
LaPolla-2003-591-250	250	pound	354	POUND	2	pound	tɕite
LaPolla-2003-591-251	251	blow (burn)			2	blow(burn)	phə
LaPolla-2003-591-252	252	pack	1679	LOAD	2	pack	le
LaPolla-2003-591-253	253	push	1452	PUSH	2	push	ɕtɕi
LaPolla-2003-591-254	254	thousand	1843	THOUSAND	2	thousand	stu
LaPolla-2003-591-255	255	difficult	584	DIFFICULT	3	difficult	ʂqu // χqu
LaPolla-2003-591-256	256	cross	1367	CROSS	4	cross // cross:PRS	χlɑ // χɬɑ // χɬɑ:
LaPolla-2003-591-257	257	take	1749	TAKE	2	take	kue
LaPolla-2003-591-258	258	street edge			2	†street.edge	kaijuɑn
LaPolla-2003-591-259	259	chase	1047	PURSUE	2	chase	dzɑ
LaPolla-2003-591-260	260	carry on back	465	CARRY ON BACK	2	carry.on.back	bi
LaPolla-2003-591-261	261	food	256	FOOD	2	food	stuɑhɑ
LaPolla-2003-591-262	262	sound	1811	SOUND OR NOISE	2	sound	sɑ
LaPolla-2003-591-263	263	help	1897	HELP	2	help	wutʂhu
LaPolla-2003-591-264	264	this person			2	†(this.person)	tʂekəʐənla
LaPolla-2003-591-265	265	affair	2214	AFFAIR	2	affair	ʐə
LaPolla-2003-591-266	266	die [1sg]	1494	DIE	2	die:1sg	ʂa
LaPolla-2003-591-267	267	top	1753	TOP	10	top	məq // q // qu // quə // qə
LaPolla-2003-591-268	268	high	1265	HIGH	2	high	wi
LaPolla-2003-591-269	269	bushel			2	bushel	quɑt
LaPolla-2003-591-270	270	thirsty	847	THIRSTY	2	thirsty	ɕpi
LaPolla-2003-591-271	271	move	765	MOVE	2	move	quq
LaPolla-2003-591-272	272	think	1415	THINK (REFLECT)	2	think	ʐbotɕu
LaPolla-2003-591-273	273	day	1225	DAY (NOT NIGHT)	39	day	s // sə
LaPolla-2003-591-274	274	basketful			2	basketful	g̥u̥ə
LaPolla-2003-591-275	275	rope	1218	ROPE	2	rope	xʂul
LaPolla-2003-591-276	276	driping			2	driping	tuetue
LaPolla-2003-591-277	277	peck			2	peck	tshuɑq
LaPolla-2003-591-278	278	anyway is			2	†(anyway.is)	fɑntʂənʂə
LaPolla-2003-591-279	279	prepare	2909	PREPARE	2	prepare	qəʑdʑi
LaPolla-2003-591-280	280	home	2406	HOME	11	home	tɕiu // tɕəu
LaPolla-2003-591-281	281	set	160	SET (HEAVENLY BODIES)	2	set	tin
LaPolla-2003-591-282	282	be afraid	1419	FEAR (BE AFRAID)	2	be.afraid	qu
LaPolla-2003-591-283	283	demand			2	demand	jɑutɕhiu
LaPolla-2003-591-284	284	stone slab			3	stone.slab // †stone.slab	ʂəpan // ʂəpɑn
LaPolla-2003-591-285	285	give	1447	GIVE	7	give	ke // l // le
LaPolla-2003-591-286	286	wash	1453	WASH	2	wash	χuəlɑ
LaPolla-2003-591-287	287	older sister	1758	OLDER SISTER	2	oldr.sistr	sawu
LaPolla-2003-591-288	288	make (friends) [1pl]		!MAKE (FRIENDS)	2	make(friends):1pl	seʴ
LaPolla-2003-591-289	289	stay or live	363	DWELL (LIVE, RESIDE)	2	stay/live	wəi
LaPolla-2003-591-290	290	ball	1845	BALL	2	ball	pɑtʂ
LaPolla-2003-591-291	291	village	930	VILLAGE	3	village	tshin // tshɑ
LaPolla-2003-591-292	292	open	1156	OPEN	3	open	qheʴ // qhəʴqhəʴ // ʐge
LaPolla-2003-591-293	293	divine (verb)			1	divine(v.)	suɑ
LaPolla-2003-591-294	294	meeting		!MEETING	1	meeeting	ʐmu
LaPolla-2003-591-295	295	eat	1336	EAT	28	eat // eat:PRS	dze // dzi // dzɑ: // dzə // tɕhə // zə
LaPolla-2003-591-296	296	grope for			1	grope.for	mo
LaPolla-2003-591-297	297	monk’s robe			1	monk’s.robe113	dzin
LaPolla-2003-591-298	298	cave	1155	CAVE	5	cave	tuŋtuŋ // ʐo:pu // ʐo:puɑ // ʐo:pɑ
LaPolla-2003-591-299	299	water (river)	948	WATER	1	water(river)	tsə
LaPolla-2003-591-300	300	bring	692	BRING	6	bring	le // lie // tɕhi // ʐ
LaPolla-2003-591-301	301	rice or food	1191	COOKED RICE	1	rice/food	stuɑhɑ
LaPolla-2003-591-302	302	jointly			1	jointly	kənti
LaPolla-2003-591-303	303	return	581	COME BACK	1	return	pə
LaPolla-2003-591-304	304	reach out	214	STRETCH	1	reach.out	tʂhu
LaPolla-2003-591-305	305	upper part	1753	TOP	1	upper.part	guχu
LaPolla-2003-591-306	306	see	1409	SEE	11	see	l // tse // tɕu
LaPolla-2003-591-307	307	host (feed)	1545	HOST	4	host/feed	ɕtɕ // ɕtɕə
LaPolla-2003-591-308	308	forest	420	FOREST	1	forest	phu
LaPolla-2003-591-309	309	wild prickly ash			1	wild.prickly.ash	wətshəi
LaPolla-2003-591-310	310	raise (child)	2134	RAISE (A CHILD)	1	raise(child)	peʴʐə
LaPolla-2003-591-311	311	cry	1839	CRY	1	cry,	zei
LaPolla-2003-591-312	312	call [1pl]	1084	CALL	2	call:1pl	ʂpe:ʴ // ʂpəʴ
LaPolla-2003-591-313	313	sun	1343	SUN	1	sun	mujuqů
LaPolla-2003-591-314	314	come [1pl]	1446	COME	3	come:1pl	leʴ // ləʴ
LaPolla-2003-591-315	315	stone	857	STONE	1	stone	ʐɑwɑ
LaPolla-2003-591-316	316	flower (flower|come)	239	FLOWER	1	flower|come	lu
LaPolla-2003-591-317	317	story	2060	STORY	1	story	məʴʂ
LaPolla-2003-591-318	318	marry	203	MARRY	2	marry	tsəusə // ɣʐə
LaPolla-2003-591-319	319	least amount			1	†(least.amount)	afəʴali
LaPolla-2003-591-320	320	a few	1242	FEW	1	a.few	əzzi
LaPolla-2003-591-321	321	think or want	2271	THINK	9	think/want	kɑntɕhi // kɑntɕi:
LaPolla-2003-591-322	322	bite	1403	BITE	1	bite	ʁdʐe
LaPolla-2003-591-323	323	retaliation			1	retaliation	pɑufu
LaPolla-2003-591-324	324	a kind of thing			1	a.kind.of.thing	ʂkupu
LaPolla-2003-591-325	325	above	1741	ABOVE	1	above	məq
LaPolla-2003-591-326	326	feed	739	FEED	1	feed	ɕtɕ
LaPolla-2003-591-327	327	club	1763	CLUB	1	club	kɑntɕhi
LaPolla-2003-591-328	328	father (god)	1217	FATHER	1	father(god)	ɑpə
LaPolla-2003-591-329	329	able	972	BE ABLE	32	able	dʐə // l // lə // the // ɣʐə
LaPolla-2003-591-330	330	set out			3	set.out	jy // ɣz // ɣzə
LaPolla-2003-591-331	331	one pile			1	DEF:one.pile	lɑw
LaPolla-2003-591-332	332	feast			1	feast106	dʑel
LaPolla-2003-591-333	333	long ago	373	LONG AGO	1	long.ago	qeʴ
LaPolla-2003-591-334	334	kind	583	KIND OR POLITE	1	kind)	jɑn
LaPolla-2003-591-335	335	divine			2	divine	suɑ // suəsuɑ
LaPolla-2003-591-336	336	stick	1295	STICK	2	stick	jə // wet
LaPolla-2003-591-337	337	empty handed			1	empty.handed	xʂuɕtɕu
LaPolla-2003-591-338	338	weigh	1098	WEIGH	1	weigh	tʂhə
LaPolla-2003-591-339	339	unclefls			1	unclefls	entɕi
LaPolla-2003-591-340	340	place	723	PLACE (POSITION)	7	place	fən // ʂpɑ // ʂpɑq // ʂpəq
